iter	Passed	Remaining
0	144	144353
1	145	72613
2	146	48675
3	147	36783
4	148	29585
5	149	24778
6	150	21339
7	151	18753
8	152	16742
9	152	15142
10	154	13879
11	155	12782
12	156	11856
13	157	11062
14	157	10367
15	158	9769
16	160	9255
17	162	8883
18	163	8450
19	164	8058
20	165	7704
21	166	7380
22	166	7085
23	167	6815
24	168	6566
25	169	6340
26	170	6130
27	171	5936
28	172	5770
29	173	5605
30	174	5465
31	177	5357
32	178	5240
33	179	5105
34	180	4974
35	181	4855
36	182	4756
37	183	4657
38	184	4553
39	185	4457
40	186	4362
41	189	4319
42	190	4239
43	191	4165
44	192	4092
45	194	4029
46	195	3961
47	196	3893
48	197	3825
49	197	3761
50	198	3700
51	199	3640
52	201	3591
53	201	3537
54	202	3484
55	203	3431
56	204	3388
57	206	3353
58	207	3315
59	209	3281
60	211	3250
61	212	3208
62	212	3167
63	213	3127
64	214	3087
65	215	3048
66	216	3012
67	217	2976
68	218	2941
69	218	2909
70	220	2879
71	221	2851
72	222	2820
73	223	2790
74	224	2767
75	225	2741
76	227	2732
77	229	2714
78	230	2689
79	231	2663
80	232	2636
81	233	2611
82	233	2585
83	235	2562
84	236	2543
85	237	2519
86	237	2495
87	238	2472
88	239	2451
89	240	2430
90	241	2411
91	242	2390
92	243	2372
93	244	2359
94	246	2344
95	246	2324
96	247	2304
97	248	2285
98	249	2268
99	250	2253
100	251	2235
101	251	2217
102	252	2200
103	253	2184
104	254	2168
105	255	2152
106	256	2137
107	257	2123
108	257	2108
109	258	2093
110	259	2075
111	260	2061
112	260	2047
113	261	2033
114	262	2019
115	262	2003
116	263	1991
117	265	1981
118	266	1969
119	266	1956
120	267	1944
121	268	1929
122	269	1917
123	269	1905
124	270	1894
125	271	1883
126	272	1871
127	273	1860
128	273	1848
129	274	1838
130	275	1828
131	276	1817
132	277	1806
133	277	1796
134	278	1787
135	279	1778
136	280	1769
137	281	1761
138	284	1760
139	285	1754
140	286	1745
141	287	1736
142	288	1726
143	288	1717
144	289	1707
145	290	1698
146	291	1689
147	291	1680
148	292	1671
149	294	1666
150	295	1663
151	297	1658
152	298	1652
153	299	1647
154	300	1640
155	301	1632
156	302	1624
157	303	1616
158	304	1608
159	304	1601
160	305	1593
161	306	1587
162	308	1583
163	309	1579
164	310	1572
165	311	1565
166	312	1558
167	313	1551
168	314	1544
169	314	1537
170	315	1530
171	316	1524
172	317	1517
173	318	1510
174	318	1503
175	319	1498
176	321	1496
177	326	1508
178	328	1506
179	329	1499
180	330	1493
181	330	1487
182	331	1481
183	332	1475
184	333	1469
185	335	1468
186	337	1467
187	342	1479
188	343	1475
189	344	1470
190	346	1465
191	347	1461
192	348	1456
193	349	1452
194	350	1447
195	351	1443
196	352	1438
197	355	1440
198	356	1436
199	357	1431
200	359	1427
201	360	1423
202	361	1419
203	362	1414
204	363	1409
205	364	1403
206	365	1398
207	365	1392
208	366	1387
209	367	1381
210	368	1376
211	369	1372
212	370	1367
213	371	1363
214	371	1358
215	372	1353
216	373	1348
217	374	1343
218	375	1338
219	376	1334
220	377	1329
221	378	1324
222	378	1320
223	379	1315
224	380	1311
225	381	1306
226	382	1301
227	383	1298
228	384	1293
229	385	1288
230	385	1284
231	386	1279
232	387	1275
233	388	1270
234	389	1266
235	389	1262
236	390	1257
237	391	1253
238	392	1249
239	393	1244
240	393	1240
241	394	1235
242	395	1231
243	396	1227
244	396	1223
245	397	1219
246	398	1215
247	399	1211
248	400	1207
249	401	1203
250	401	1199
251	402	1194
252	403	1191
253	404	1187
254	405	1183
255	405	1179
256	406	1175
257	407	1171
258	408	1168
259	409	1164
260	409	1160
261	410	1156
262	411	1152
263	411	1148
264	412	1144
265	413	1140
266	414	1137
267	415	1134
268	416	1130
269	416	1126
270	417	1123
271	418	1119
272	418	1115
273	419	1112
274	420	1108
275	421	1104
276	421	1101
277	422	1097
278	423	1094
279	424	1090
280	424	1087
281	425	1083
282	426	1080
283	427	1076
284	427	1073
285	428	1070
286	429	1067
287	430	1064
288	431	1061
289	432	1058
290	432	1054
291	433	1051
292	434	1048
293	435	1045
294	435	1041
295	436	1038
296	437	1035
297	438	1032
298	438	1029
299	439	1025
300	440	1022
301	441	1019
302	442	1016
303	442	1013
304	443	1011
305	444	1008
306	445	1005
307	446	1002
308	446	999
309	447	996
310	448	993
311	449	990
312	449	987
313	450	984
314	451	981
315	452	978
316	452	975
317	453	973
318	454	970
319	455	967
320	456	964
321	456	962
322	457	959
323	458	956
324	459	953
325	460	951
326	460	948
327	461	945
328	462	942
329	463	940
330	463	937
331	464	934
332	465	932
333	466	929
334	466	926
335	467	924
336	468	921
337	469	919
338	470	916
339	470	914
340	471	911
341	472	908
342	473	906
343	474	904
344	474	901
345	475	899
346	476	896
347	477	894
348	478	891
349	478	889
350	479	886
351	480	884
352	481	881
353	481	879
354	482	877
355	483	874
356	484	872
357	485	869
358	485	867
359	486	864
360	487	862
361	488	860
362	488	858
363	489	855
364	490	853
365	491	851
366	492	848
367	492	846
368	493	844
369	494	841
370	495	839
371	495	837
372	496	834
373	497	832
374	498	830
375	499	828
376	499	826
377	500	823
378	501	821
379	502	819
380	502	817
381	503	815
382	504	812
383	505	810
384	506	808
385	507	806
386	508	804
387	508	802
388	509	800
389	510	798
